What were Apple's total net sales for the fiscal third quarter ended June 28, 2025?
What was Apple's net income for the fiscal third quarter ended June 28, 2025?
What was Apple's diluted earnings per share for the fiscal third quarter ended June 28, 2025?
What was Apple's Services revenue for the fiscal third quarter ended June 28, 2025?
What was Apple's research and development expense for the fiscal third quarter ended June 28, 2025?
What were Apple's total net sales for the fiscal first quarter ended December 28, 2024?
What was Apple's net income for the fiscal first quarter ended December 28, 2024?
What was Apple's diluted earnings per share for the fiscal first quarter ended December 28, 2024?
What were Apple's total net sales for the fiscal second quarter ended March 29, 2025?
What was Apple's net income for the fiscal second quarter ended March 29, 2025?
What was Microsoft's total revenue for the fiscal second quarter ended December 31, 2024?
What was Microsoft's net income for the fiscal second quarter ended December 31, 2024?
What was Microsoft's diluted earnings per share for the fiscal second quarter ended December 31, 2024?
What was Microsoft's total revenue for the fiscal third quarter ended March 31, 2025?
What was Microsoft's operating income for the fiscal third quarter ended March 31, 2025?
What was NVIDIA's net income for the fiscal first quarter ended April 27, 2025?
What was NVIDIA's diluted net income per share for the fiscal first quarter ended April 27, 2025?
What was NVIDIA's research and development expense for the fiscal first quarter ended April 27, 2025?
What was NVIDIA's net income for the fiscal second quarter ended July 27, 2025?
What was NVIDIA's diluted net income per share for the fiscal second quarter ended July 27, 2025?
What was Meta Platforms' total revenue for the first quarter ended March 31, 2025?
What was Meta Platforms' net income for the first quarter ended March 31, 2025?
What was Meta Platforms' total revenue for the second quarter ended June 30, 2025?
What was Meta Platforms' diluted earnings per share for the second quarter ended June 30, 2025?
What were Alphabet's total revenues for the first quarter ended March 31, 2025?
What was Alphabet's Google Cloud revenue for the first quarter ended March 31, 2025?
What was Alphabet's net income for the first quarter ended March 31, 2025?
What were Amazon's total net sales for the first quarter ended March 31, 2025?
What was Amazon's operating income for the first quarter ended March 31, 2025?
What were Tesla's total revenues for the first quarter ended March 31, 2025?
