What were Apple's total net sales for the fiscal third quarter ended June 28, 2025?
What was Apple's net income for the fiscal third quarter ended June 28, 2025?
What was Apple's diluted earnings per share for the fiscal third quarter ended June 28, 2025?
By what percentage did Apple's total net sales grow year-over-year in the fiscal third quarter ended June 28, 2025?
What was Apple's Services revenue for the fiscal third quarter ended June 28, 2025?
What was Apple's iPhone revenue for the fiscal third quarter ended June 28, 2025?
What was Apple's total gross margin percentage for the fiscal third quarter ended June 28, 2025?
What was Microsoft's total revenue for the fiscal third quarter ended March 31, 2025?
By what percentage did Microsoft's total revenue grow year-over-year in the fiscal third quarter ended March 31, 2025?
What was Microsoft's net income for the fiscal third quarter ended March 31, 2025?
What was Microsoft's diluted earnings per share for the fiscal third quarter ended March 31, 2025?
What was Microsoft's Intelligent Cloud segment revenue for the fiscal third quarter ended March 31, 2025?
By what percentage did Microsoft's Azure and other cloud services revenue grow in the fiscal third quarter ended March 31, 2025?
What were Alphabet's total revenues for the second quarter ended June 30, 2025?
By what percentage did Alphabet's total revenues grow year-over-year in the second quarter ended June 30, 2025?
